user_id	user_ground_truths	user_top_k_prediction
28672	[40253, 40224, 36861, 34017, 40204, 40624, 36171, 36162, 40340, 40307]	[13272, 34017, 36861, 14626, 12369, 36155, 18983, 40224, 37705, 32077, 40253, 34884, 28706, 37479, 12383, 40624, 40204, 12391, 34883, 40307, 37485, 35283, 39204, 40340, 35282, 15707, 38265, 37191, 36161, 25254, 36162, 38929, 12365, 32079, 37136, 32080, 15708, 18994, 32057, 32520, 14622, 36164, 32069, 13266, 39161, 15711, 14625, 15699, 40056, 38831, 39963, 36171, 37706, 36168, 37704, 18985, 32082, 36144, 14628, 37238, 40716, 32868, 38124, 40266, 14627, 12360, 15710, 14629, 37288, 40339, 37580, 37038, 12387, 38142, 32072, 40647, 32853, 32866, 18986, 34879, 37702, 29209, 40065, 36175, 37701, 14624, 37815, 18981, 15712, 40278, 38137, 37820, 12366, 12356, 38252, 31316, 36152, 40207, 32870, 37275]
28673	[9376, 12557, 8790, 25223, 1668, 1700, 4635, 13081, 6903, 18931, 38385, 1292, 25200, 1114, 2229, 1638]	[1638, 1668, 1700, 25200, 4635, 25223, 1307, 1292, 1679, 2195, 12421, 1674, 38385, 6901, 6903, 16795, 2193, 1198, 12557, 160, 1647, 18931, 6914, 2229, 13081, 1676, 1663, 8994, 8790, 6154, 26804, 9376, 6906, 27342, 6912, 1332, 26814, 6889, 2457, 1224, 17873, 15942, 2558, 4385, 6156, 10295, 15971, 2629, 1114, 2540, 28331, 5292, 18610, 2175, 20960, 15941, 1302, 12417, 12424, 1306, 20987, 9168, 15441, 15983, 15947, 1645, 9257, 6918, 1197, 1128, 18264, 20273, 6155, 6888, 6885, 15950, 19007, 1648, 1672, 28384, 1809, 8785, 3746, 6542, 4384, 356, 20399, 40015, 6153, 6876, 20988, 18929, 1127, 1701, 6297, 2225, 20968, 9247, 20984, 6919]
28674	[1226, 4536, 2427, 160, 1128, 39627, 1127, 6181]	[1128, 1127, 6184, 3655, 6170, 6181, 6171, 6179, 160, 6182, 6178, 6180, 39627, 6172, 6173, 2427, 6177, 6175, 6176, 6174, 3648, 3711, 4536, 39621, 6729, 3637, 39628, 1226, 39624, 39623, 381, 1129, 40880, 3647, 128, 3649, 6730, 2507, 1189, 1292, 18272, 3658, 1131, 40041, 456, 2584, 3652, 40863, 1126, 129, 6731, 1130, 3715, 3644, 2633, 39631, 6233, 39635, 1644, 2523, 3713, 15379, 39630, 39625, 15380, 3645, 38536, 20835, 2589, 1212, 2622, 39634, 3636, 19013, 1288, 1231, 3749, 39636, 26827, 3654, 40824, 7084, 38535, 1236, 40740, 6247, 39632, 1302, 2519, 2178, 1295, 39934, 1623, 8178, 18919, 1352, 2174, 3668, 1122, 6909]
28675	[12449, 19236, 37434, 28111, 19157, 645, 11848, 20421, 19056, 8348, 3549, 3554]	[5452, 3549, 718, 5079, 11848, 6121, 4946, 645, 20421, 5343, 2971, 10082, 5256, 9778, 3554, 12449, 5030, 8348, 19236, 5237, 28111, 3551, 37434, 19056, 5440, 9808, 5715, 5250, 13561, 5225, 5226, 5344, 5716, 5077, 19157, 4930, 17030, 18458, 18058, 9793, 13562, 13072, 10081, 8364, 37571, 18859, 18457, 24005, 18463, 5246, 26894, 18459, 19541, 11042, 18447, 28110, 643, 22303, 20431, 5251, 28112, 15590, 16000, 13565, 12399, 4679, 9165, 4974, 20456, 3553, 36087, 9127, 13257, 6123, 18454, 3552, 30779, 5240, 5342, 17032, 4678, 17334, 10068, 12445, 23070, 11052, 19250, 23472, 11051, 23081, 30337, 6364, 35133, 7611, 37737, 10830, 24360, 19351, 28113, 24006]
28676	[32738, 36962, 30187, 21520, 28781, 24472, 23182, 25055]	[21536, 23182, 21520, 28781, 23297, 25055, 24472, 36962, 23108, 32738, 23697, 30187, 12190, 22919, 22644, 23214, 22459, 26049, 17406, 24118, 23542, 21948, 22649, 29541, 22562, 21933, 21635, 21516, 23902, 22438, 21181, 22618, 22630, 21126, 22669, 35579, 23340, 22522, 27263, 23884, 22524, 27288, 23914, 38993, 27243, 22364, 34448, 23225, 22667, 27512, 23348, 22918, 35564, 22639, 24079, 21620, 30837, 26610, 25059, 29035, 22937, 23712, 21888, 21535, 33587, 22921, 27258, 20719, 26475, 23341, 24427, 27296, 33682, 22834, 22521, 26957, 28811, 24520, 23343, 30253, 26047, 22278, 21920, 29026, 35368, 28750, 23901, 23646, 22977, 37103, 22381, 25701, 24186, 22387, 37342, 28065, 22187, 23027, 27326, 34565]
28677	[8484, 30620, 14807, 34615, 28988, 26535, 4225, 8479, 21061, 32621, 15015, 22327, 37502, 38016, 22326, 3585, 23835, 4224, 17219, 17435, 1683, 6076, 5140, 30766, 6082, 37656, 6081, 17376, 13480, 8452, 39884, 17380, 13477, 39791, 20977, 12626, 24934, 5435, 1463, 1549, 8031, 34483, 35730, 28571, 12642, 30132, 19691, 37578, 38051, 27408, 38052, 27405, 7120, 29925, 30131, 1513, 1516, 37500, 37576, 12643, 37574, 37575, 37577, 29262, 27407, 5195, 5197, 33556, 5196, 1518, 30133, 1515, 33375, 39480, 1517, 27404, 17283, 37623, 1519, 39822, 40229, 1514, 32401, 32014, 28570, 30134, 39819, 20995, 5209, 12490, 17124, 17123, 37360, 32810, 35629, 12491, 9125, 1521, 39886, 12492, 39878, 20996, 38870, 38514, 13479, 12489, 1520, 21005, 6085, 21680, 12488, 30095, 13515, 28596, 27403, 13513, 37454, 8832, 13514, 13491, 8384, 8386, 39319, 5198, 1522, 1523, 12486, 12487, 12493, 257, 258, 1526, 1527, 1512, 8509, 13492, 13495, 39438, 21245, 37452, 17091, 28586, 37658, 13494, 17090, 40881, 8385, 1524, 39437, 8387, 1525, 14613, 17088, 17089, 32592, 17092, 13509, 28585, 21247, 17086, 2647, 13510, 8831, 17085, 8508, 1528, 11837, 31259, 36135, 17304, 37453, 12618, 13512, 21244, 5188, 34628, 39115, 13511, 13493, 17084, 17087, 256, 17079, 18889, 40752, 21246, 27425, 27424, 37316, 17083, 37659, 34633, 19480, 13504, 39320, 37315, 35041, 34630, 13507, 13508, 17215, 13505, 27389, 17295, 19556, 26007, 1505, 19322, 27183, 12397, 17296, 5182, 2648, 3801, 1511, 17301, 21002, 27381, 5376, 25584, 17129, 1529, 1506, 1510, 39885, 36024, 31276, 39691, 22858, 8551, 8463, 5177, 12624, 8558, 5201, 9467, 1680, 21063, 28692, 1508, 8506, 8504, 1504, 17074, 1681, 4342, 17351, 39835, 5375, 14831, 36025, 5183, 5184, 8563, 28696, 17282, 3802, 3804, 17126, 1509, 21243, 16955, 32600, 12627, 19417, 14327, 12632, 27187, 17220, 5208, 20981, 8555, 5432, 30875, 12498, 18118, 27382, 17100, 1795, 438, 36841, 5010, 10393, 17017, 3105, 311, 529, 801, 4498, 39226, 3093, 2141, 2319, 8794, 7367, 5004, 2289, 2483, 3107, 6609, 477, 39355, 35007, 10366, 6597, 16519, 20513, 407, 9352, 37978, 7080, 40026, 31363, 36809, 368, 11717, 4992, 304, 15190, 1319, 6808, 620, 194, 1796, 3099, 198, 1591, 8288, 6375]	[1500, 1509, 258, 1513, 257, 1526, 256, 7120, 1515, 5430, 1502, 1527, 5174, 13512, 1493, 10953, 1508, 5198, 2647, 8385, 722, 12488, 1463, 1492, 3810, 1277, 12627, 12491, 1511, 12489, 1537, 3800, 8832, 2648, 1504, 13504, 11837, 4994, 1525, 1524, 1528, 17079, 14831, 1520, 13509, 1521, 1522, 5184, 12624, 17088, 5186, 13493, 13506, 5188, 1314, 5685, 17123, 17296, 32014, 12618, 13491, 6733, 5131, 9125, 1284, 8388, 18889, 6081, 1529, 8831, 5195, 3801, 1519, 5183, 13505, 17093, 5691, 17085, 4995, 1683, 17091, 17087, 5182, 17084, 12487, 24591, 17086, 8386, 17149, 17214, 1546, 1523, 12329, 12642, 17222, 251, 1517, 12498, 13479, 13277]
28678	[30378, 34434, 30036, 30035, 30033, 30032, 31624, 30030]	[30759, 19727, 31635, 29973, 30043, 32834, 29987, 30029, 30031, 30036, 32836, 30025, 34730, 30378, 33659, 31641, 31636, 33664, 29975, 30015, 30020, 29994, 30037, 21559, 30004, 34434, 30032, 29986, 35529, 30030, 29989, 31643, 33301, 30033, 29979, 29960, 30034, 31624, 31633, 29998, 32835, 31632, 30166, 32837, 4286, 30000, 32569, 29983, 30161, 29959, 29966, 32567, 29999, 29984, 30035, 30001, 34727, 34729, 30021, 29997, 36330, 31645, 29971, 29981, 29985, 38417, 30379, 29988, 33206, 29995, 31626, 30016, 29974, 8972, 30007, 30013, 30024, 31628, 30017, 30041, 30042, 31623, 38352, 31638, 34731, 32838, 29970, 30009, 28359, 31644, 31631, 29967, 32002, 31642, 29969, 30026, 29980, 30380, 30023, 30160]
28679	[10409, 10384, 9356, 31023, 2472, 325, 8155, 3472, 35636, 803, 3421, 309]	[4519, 805, 325, 2242, 8155, 3421, 192, 176, 803, 9356, 2360, 3092, 529, 307, 205, 1553, 6389, 559, 2136, 3420, 305, 3052, 1473, 3133, 3044, 10409, 15893, 323, 3472, 2472, 2116, 5421, 20105, 778, 296, 1421, 8890, 309, 3076, 2292, 6631, 39656, 31023, 306, 2362, 8157, 35636, 1571, 1555, 15903, 194, 3071, 9626, 1617, 4841, 18641, 198, 11134, 10384, 1464, 9652, 2510, 440, 1437, 293, 2310, 1436, 3054, 2467, 1589, 8156, 187, 1438, 14235, 2061, 11704, 557, 406, 370, 203, 2474, 2127, 2464, 2071, 7384, 546, 14138, 10255, 10349, 2117, 208, 2315, 10304, 6379, 802, 3794, 310, 10797, 7368, 15230]
28680	[12760, 16675, 16117, 20214, 16614, 705, 14701, 15682, 10517, 12889, 12766]	[12889, 2525, 2635, 4231, 14701, 705, 878, 1031, 12831, 10517, 16675, 628, 15682, 9316, 16117, 9714, 20214, 9471, 16614, 12766, 12760, 1906, 1843, 543, 16118, 858, 9734, 15078, 35207, 14451, 8840, 4030, 630, 12761, 12744, 12862, 924, 12762, 4170, 9733, 16234, 10596, 861, 11770, 7458, 10012, 1076, 16662, 738, 853, 1056, 16408, 735, 8263, 18292, 35470, 2679, 12780, 12787, 16410, 21112, 19749, 16634, 1627, 7891, 25442, 25363, 19095, 26799, 744, 12740, 16113, 28930, 18051, 1027, 921, 958, 17890, 842, 12216, 626, 35123, 12743, 10412, 12755, 17477, 19647, 18294, 4347, 18284, 953, 2786, 10013, 19748, 33545, 10031, 32655, 6482, 12881, 33479]
28681	[16417, 34521, 30105, 991, 733, 39405, 4231, 18287, 34520, 30112]	[30112, 30105, 16417, 2525, 39405, 16415, 27429, 30107, 4231, 18287, 34521, 32682, 3195, 30111, 24325, 628, 12889, 34528, 30108, 30110, 34520, 733, 2635, 32681, 34532, 14701, 18293, 12735, 36062, 3142, 34527, 35469, 991, 39406, 16416, 18294, 714, 19095, 19280, 2392, 9316, 15035, 2679, 12566, 3196, 33546, 34522, 16234, 34516, 12831, 20404, 9471, 18336, 1933, 15658, 744, 1061, 2393, 35866, 15110, 18940, 34531, 34518, 35123, 22347, 16634, 16413, 16661, 4171, 34515, 3121, 35470, 13125, 27430, 12788, 20605, 4776, 23382, 17930, 921, 15646, 591, 33501, 12734, 35126, 1875, 821, 33498, 37455, 17492, 4003, 2369, 25440, 18898, 2365, 32655, 35593, 12851, 30113, 31473]
